"用例ID","需求/工作包","模块","用例标题","测试类型","层级","优先级","前置条件","操作步骤","测试数据","预期结果","自动化/证据参考","附件基线状态","本次结果","实际结果/偏差","证据路径","执行人","执行时间","外部责任人/下一步"
"TC-0001","UWP-00|IAM-001","身份与作用域","正确账号登录","安全","系统","P1","测试环境可用；使用授权测试数据","输入有效用户名、密码与验证码；提交","见测试数据表","建立会话并进入控制台；菜单按权限展示","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0002","UWP-00|IAM-004","身份与作用域","弱口令拒绝","安全","系统","P1","测试环境可用；使用授权测试数据","修改密码为少于12位或缺少复杂度的口令","见测试数据表","返回明确策略错误且密码不变","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0003","UWP-00|IAM-004","身份与作用域","常见口令拒绝","安全","系统","P1","测试环境可用；使用授权测试数据","使用 admin123/password1 等常见口令","见测试数据表","拒绝修改并记录失败","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0004","UWP-00|IAM-004","身份与作用域","口令包含用户名拒绝","安全","系统","P1","测试环境可用；使用授权测试数据","新口令中包含当前用户名","见测试数据表","拒绝修改","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0005","UWP-00|IAM-004","身份与作用域","强制改密最小权限","安全","系统","P1","测试环境可用；使用授权测试数据","以 mustChangePassword 用户登录并访问策略 API","见测试数据表","仅允许修改密码；其他请求拒绝","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0006","UWP-00|IAM-004","身份与作用域","失败锁定与自动解锁","安全","系统","P1","测试环境可用；使用授权测试数据","连续输入错误密码达到环境阈值；等待锁定窗口","见测试数据表","锁定期拒绝；到期按策略恢复","手工/集成","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0007","UWP-00|IAM-004","身份与作用域","密码历史限制","安全","系统","P1","测试环境可用；使用授权测试数据","尝试复用历史口令","见测试数据表","按环境历史策略拒绝","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0008","UWP-00|IAM-001","身份与作用域","系统管理员越权保护","安全","系统","P0","测试环境可用；使用授权测试数据","SYSTEM_ADMIN 调用 policy:manage API","见测试数据表","请求被拒绝；管理与安全权限分离","tests/auth/users-route.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0009","UWP-00|IAM-001","身份与作用域","安全管理员越权保护","安全","系统","P0","测试环境可用；使用授权测试数据","SECURITY_ADMIN 调用 iam:users:manage API","见测试数据表","请求被拒绝","tests/auth/users-route.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0010","UWP-00|IAM-001","身份与作用域","审计管理员越权保护","安全","系统","P0","测试环境可用；使用授权测试数据","AUDIT_ADMIN 尝试修改策略","见测试数据表","请求被拒绝","tests/auth/auth-core.test.ts","待执行","通过","鉴权、口令、角色隔离、租户/应用边界、CSRF、审计与注销由全量单元测试及桌面/移动认证 E2E 验证通过。","P6-logs/04-unit.log; P6-logs/15d-e2e-authenticated.log; P6-isolated-runtime-summary.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
